284-chuvgau.md	Чувашский ГАУ
490-volzhsky-volgu.md	ВГИ ВолГУ
491-dvgii.md	ДВГИИ
493-magnitogorsk-conservatory.md	МаГК имени М.И. Глинки
494-ufa-art-institute.md	УГИИ имени З. Исмагилова
495-dgpu.md	ДГПУ
497-ippolitov-ivanov.md	ГМПИ имени Ипполитова-Иванова
499-georgievsky-medical.md	Медакадемия имени Георгиевского (КФУ)
505-rosunimed.md	РосУниМед
516-dzerzhinsk-ranepa.md	Дзержинский филиал РАНХиГС
518-petropavlovsk-ranepa.md	Петропавловск-Камчатский филиал РАНХиГС
519-crimea-mvd.md	КФ КрУ МВД России
520-novorossiysk-mvd.md	НФ КрУ МВД России
521-nalchik-mvd.md	СКИПК КрУ МВД России (Нальчикский филиал)
522-moscow-theological.md	МДА
523-spb-theological.md	СПбДА
535-national-business-institute.md	НИБ
536-ruan.md	РУАН
537-griboedov.md	Университет имени А.С. Грибоедова
541-rvsn-academy.md	ВА РВСН
542-ova.md	ОВА ВС РФ
547-svyazi-academy.md	ВАС имени Будённого
548-vva-voronezh.md	ВВА имени Жуковского и Гагарина
549-vma-kuznetsov.md	ВМА имени Кузнецова
553-cheboksary-cooperative.md	ЧКИ РУК
554-krasnodar-cooperative.md	ККИ РУК (Краснодар)
556-saransk-cooperative.md	СКИ РУК
559-crimea-prosecutor.md	КЮИ (филиал УП РФ)
564-iate-mephi.md	ИАТЭ НИЯУ МИФИ
565-sti-mephi.md	СТИ НИЯУ МИФИ
566-diti-mephi.md	ДИТИ НИЯУ МИФИ
568-sarfti-mephi.md	СарФТИ НИЯУ МИФИ
572-stavropol-pedagogical.md	СГПИ
574-salavat-ugntu.md	Салаватский филиал УГНТУ
575-oktyabrsky-ugntu.md	Октябрьский филиал УГНТУ
577-sguvt.md	СГУВТ (бывший НИИВТ, затем НГАВТ)
580-spb-rta.md	СПб филиал РТА
584-spb-medsocial.md	СПбМСИ
585-mgavt.md	МГАВТ (филиал ГУМРФ)
587-gitr.md	ГИТР
590-tobolsk-seminary.md	Тобольская духовная семинария
591-smolensk-seminary.md	Смоленская духовная семинария
592-ekaterinburg-seminary.md	Екатеринбургская духовная семинария
593-vegu.md	ВЭГУ
594-bgarf.md	БГАРФ (в составе КГТУ)
595-dvoku.md	ДВОКУ
596-nvvku.md	НВВКУ
597-tyumen-military.md	ТВВИКУ
598-omsk-military.md	ОАБИИ
599-cherepovets-military.md	ВУРЭ
600-yaroslavl-pvo.md	ЯВВУ ПВО
601-starooskol-misis.md	СТИ НИТУ МИСиС
602-novotroitsk-misis.md	Новотроицкий филиал НИТУ МИСиС
603-vyksa-misis.md	Выксунский филиал НИТУ МИСиС
604-gubkin-misis.md	Губкинский филиал НИТУ МИСиС
605-volzhsky-mei.md	Волжский филиал НИУ МЭИ
606-smolensk-mei.md	СФ МЭИ
607-sochi-rut.md	СИТ РУТ (МИИТ)
608-dmitrov-bauman.md	Дмитровский филиал МГТУ
609-orenburg-gubkin.md	Оренбургский филиал РГУ нефти и газа имени Губкина
610-sosnovybor-spbpu.md	ИЯЭ СПбПУ
611-cherepovets-spbpu.md	Череповецкий филиал СПбПУ
612-domodedovo-rggu.md	Домодедовский филиал РГГУ
613-krasnodar-finuniv.md	Краснодарский филиал Финуниверситета
614-kursk-finuniv.md	Курский филиал Финуниверситета
615-novorossiysk-finuniv.md	Новороссийский филиал Финуниверситета
616-penza-finuniv.md	Пензенский филиал Финуниверситета
617-smolensk-finuniv.md	Смоленский филиал Финуниверситета
618-tula-finuniv.md	Тульский филиал Финуниверситета
619-ural-finuniv.md	Уральский филиал Финуниверситета
620-ufa-finuniv.md	Уфимский филиал Финуниверситета
621-yaroslavl-finuniv.md	Ярославский филиал Финуниверситета
622-krasnodar-reu.md	Краснодарский филиал РЭУ
623-perm-reu.md	Пермский институт РЭУ
624-tula-reu.md	Тульский филиал РЭУ
625-arkhangelsk-ruc.md	Архангельский филиал РУК
626-arzamas-ruc.md	Арзамасский филиал РУК
627-vladimir-ruc.md	Владимирский филиал РУК
628-izhevsk-ruc.md	Ижевский филиал РУК
629-murmansk-ruc.md	Мурманский филиал РУК
630-petropavlovsk-ruc.md	Петропавловск-Камчатский филиал РУК
631-smolensk-ruc.md	Смоленский филиал РУК
632-syktyvkar-ruc.md	Сыктывкарский филиал РУК
633-ufa-ruc.md	Уфимский филиал РУК
634-engels-ruc.md	Энгельсский филиал РУК
635-taganrog-sfedu.md	ИТА ЮФУ
636-nabchelny-kfu.md	НЧИ КФУ
637-chistopol-kfu.md	Чистопольский филиал КФУ
638-rostov-mtusi.md	СКФ МТУСИ
639-nn-mtusi.md	ВВФ МТУСИ
640-usolye-irnitu.md	Филиал ИРНИТУ в Усолье-Сибирском
641-bronnitsy-madi.md	Бронницкий филиал МАДИ
642-makhachkala-madi.md	Махачкалинский филиал МАДИ
643-chelyabinsk-madi.md	Уральский филиал МАДИ
644-cheboksary-madi.md	Волжский филиал МАДИ
645-lermontov-madi.md	СК филиал МАДИ
646-irkutsk-vgik.md	Иркутский филиал ВГИК
647-rostov-vgik.md	Ростовский филиал ВГИК
648-sergievposad-vgik.md	Сергиево-Посадский филиал ВГИК
649-yugorsk-leti.md	Югорский филиал ЛЭТИ
650-novosibirsk-kosygin.md	НТИ (филиал) РГУ имени Косыгина
654-vladikavkaz-vv.md	СКВИ ВВ
655-kolomna-seminary.md	Коломенская духовная семинария
658-yaroslavl-seminary.md	Ярославская духовная семинария
662-ryazan-seminary.md	Рязанская духовная семинария
665-saratov-seminary.md	Саратовская духовная семинария
674-kursk-seminary.md	Курская духовная семинария
677-sretenskaya-academy.md	Сретенская духовная академия
679-nnovgorod-seminary.md	Нижегородская духовная семинария
680-kostroma-seminary.md	Костромская духовная семинария
681-pogranakademia-fsb.md	Пограничная академия ФСБ России
682-fso-academy.md	Академия ФСО России
683-vpvo-smolensk.md	ВА ВПВО
684-varhbz-kostroma.md	ВА РХБЗ
687-krasnodar-serov.md	КВВАУЛ
688-syzran-aviation.md	СВВАУЛ
689-chelyabinsk-navigators.md	ЧВВАКУШ
694-novocherkassk-signals.md	НВВКУС
696-perm-rosgvardia.md	ПВИ ВНГ РФ
697-spb-rosgvardia.md	СПВИ ВНГ РФ
699-khabarovsk-fsb.md	ХПИ ФСБ России
